News Page URL,Date,News Title,Page Content
https://www.newswire.lk/2025/03/23/4-senior-police-officers-transferred-with-immediate-effect/,2025-03-23,4 Senior Police officers transferred with immediate effect,"Two Deputy Inspectors General of Police (DIGs) and two Senior Superintendents of Police (SSPs) have been transferred and given new appointments, the National Police Commission announced.

The transfers have been made with the approval of the Election Commission and are effective immediately."
https://www.newswire.lk/2025/03/23/o-l-examination-important-notice-for-students/,2025-03-23,O/L examination: Important Notice for Students,"The Ministry of Education has warned the public against a fake announcement being circulated on social media regarding the 2025 G.C.E. O/L Science examination paper.

The false statement, which misuses the names of the Ministry and the Department of Examinations, claims that the Science paper was leaked and restructured, and that all candidates will be awarded 08 extra marks, with grading thresholds reduced by 10 marks.

The Ministry has confirmed that no such decision has been made and that all official announcements are only issued to registered media outlets via the Ministry's Media Unit with proper authorization and official letterheads.

The public is urged not to be misled by such false information."
https://www.newswire.lk/2025/03/23/indian-cbi-files-closure-report-in-actor-sushants-death/,2025-03-23,Indian CBI files closure report in Actor Sushant's death,"The Indian Central Bureau of Investigation (CBI) has submitted its closure report in the Actor Sushant Singh Rajput case, stating that no evidence was found to suggest external involvement in his death.

With this, Bollywood actress Rhea Chakraborty and her family have been officially cleared of all allegations.

Reacting to the report, Rhea's lawyer, Satish Maneshinde, criticized the misinformation spread on social media. ""After nearly four years, the CBI has thoroughly investigated all aspects of the case. The false narratives propagated during the pandemic led to innocent people being unfairly targeted. I hope such incidents do not recur,"" he stated.

He further urged media introspection, highlighting Rhea's ordeal, including her 27-day custody. ""Justice Sarang V. Kotwal granted her bail, yet she and her family endured inhumane treatment. Despite threats, we remained committed to seeking justice,"" he added, emphasizing his pride in defending a military family pro bono.

Sushant Singh Rajput, 34, was found dead in his Bandra residence on June 14, 2020. His postmortem at Cooper Hospital confirmed asphyxia as the cause of death. (Gulf News)"
https://www.newswire.lk/2025/03/23/slmc-slams-sri-lanka-foreign-ministry-statement-on-gaza-as-bunkum/,2025-03-23,SLMC slams Sri Lanka Foreign Ministry Statement on Gaza as Bunkum,"The Secretary of the Sri Lanka Muslim Congress (SLMC) and member of Parliament, Nizam Kariapper PC, yesterday slammed the Ministry of Foreign Affairs, Sri Lanka, for its three-liner media-release on Friday, March 21, 2025, in reference to the escalation of bombardment and humanitarian catastrophe in Gaza in the Tamil media. He called it a mere hoodwink.

Mr Kariapper PC added that this so-called statement by the Government of Sri Lanka (GoSL) does not contain a single word of condemnaition of the relentless airstrikes and mass killings of the people of Gaza by Israel and its atrocities which continues with the tacit support of the US government.

It is ""shocking and disappointing,"" Mr Kariapper PC added that while various countries are condemning the atrocities of Israel on the people of Palestine, the GoSL, has simply released an eye-wash of a media release on Friday (21) sans no authority's signature, falsely trying to appease to the Muslims of this country.

In the holy month of Ramadan, while the Palestinians are facing genocide amidst various hardships, Israel continues massive attacks killing hundreds of people in Gaza with impunity against all humanitarian and international laws.

The Leader of Sri Lanka Muslim Congress, Rauff Hakeem too has earlier issued a statement condemning the attacks on the Palestinians and spoke in Parliament about the atrocities appealing to the GoSL and the international community for support. He also pointed out that the Sri Lankan government has not made any attempt to condemn this (Sri Lanka Muslim Congress Media Unit)"
https://www.newswire.lk/2025/03/23/sri-lankas-first-sperm-bank-opens-men-urged-to-become-donors/,2025-03-23,Sri Lanka's First Sperm Bank opens: Men urged to become donors,"Sri Lanka has established its first-ever sperm bank at the Castle Street Hospital for Women in Colombo, offering new hope for individuals and couples facing fertility challenges.

A sperm bank is a facility that collects, stores, and provides donated sperm for use in fertility treatments such as artificial insemination or in-vitro fertilization (IVF). It is widely used around the world to assist individuals and couples, including those with male infertility issues or single women seeking to conceive.

Hospital Director Dr. Ajith Kumara Danthanarayana stated that the service will be operated under strict privacy and confidentiality. He assured that both donor privacy and recipient confidentiality will be fully protected.

Donors will be required to undergo a series of medical tests before making a donation to ensure safety and quality. The hospital has also called on the public to support the initiative by donating sperm, contributing to a significant step forward in reproductive health services in Sri Lanka. (NewsWire)

WATCH : https://youtu.be/bYy498FcPHI?si=1zABItxr_88IJymv"
https://www.newswire.lk/2025/03/23/indian-himalayan-council-of-nalanda-buddhist-tradition-holds-inaugural-general-assembly/,2025-03-23,Indian Himalayan Council of Nalanda Buddhist Tradition holds inaugural general assembly,"Indian Himalayan Council of Nalanda Buddhist Tradition holds inaugural general assembly with delegates from across Himalayan states

Read more At:

http://Indian Himalayan Council of Nalanda Buddhist Tradition holds inaugural general assembly with delegates from across Himalayan states Read more At: https://www.aninews.in/news/world/asia/indian-himalayan-council-of-nalanda-buddhist-tradition-holds-inaugural-general-assembly-with-delegates-from-across-himalayan-states20250321154742/"
https://www.newswire.lk/2025/03/23/brawl-involving-group-accompanying-yoshitha-rajapaksa-caught-on-cctv/,2025-03-23,Brawl involving group accompanying Yoshitha Rajapaksa caught on CCTV,"A group accompanying Yoshitha Rajapaksa was involved in a clash outside a nightclub in Union Place, Colombo.

The altercation, which took place recently, was recorded on CCTV cameras. A bouncer from the club was injured during the incident.

Police are conducting further inquiries into the matter. (NewsWire)"
https://www.newswire.lk/2025/03/23/prisons-dept-to-review-deshabandus-request-for-home-cooked-meals/,2025-03-23,Prisons Dept to review Deshabandu's request for home-cooked meals,"The Department of Prisons will review a request from suspended IGP Deshabandu Tennakoon, who is currently in remand custody, to receive meals from home.

According to Ada Derana, Prisons Media Spokesperson, Commissioner Gamini B. Dissanayake, confirmed that Tennakoon has formally requested permission and has been asked to provide valid reasons to justify it. Once submitted, prison authorities will assess the request and take appropriate action.

Tennakoon, wanted in connection with a shooting outside a Weligama hotel, surrendered to the Matara Magistrate's Court 20 days after an arrest warrant was issued. He is currently held at Dumbara Prison and remanded until April 3."
https://www.newswire.lk/2025/03/23/it-is-very-important-that-the-power-of-local-government-authorities-remains-under-the-government/,2025-03-23,"""It is very important that the power of local government authorities remains under the government""",
https://www.newswire.lk/2025/03/23/the-era-when-media-controlled-politics-is-now-over-president-akd/,2025-03-23,"""The era when media controlled politics is now over"" - President AKD",
